feature_set,scenario,scenario_sign,year,horizon_from_2028,Y_shortfall_pct,direct_discretionary_PB_level_pp,delta_cyclical_PB_pp,baseline_PB_pp,PB_new_pp,nominal_gdp_growth_new_pct,baseline_D_Y_pp,D_Y_new_pp,dsa_margin_vs_baseline_pp,direct_DY_LP_margin_initial_action_pp
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2032,4,-4.424301718923379,-2.1034944229547268,2.123664825083222,-4.024710655212402,-4.004540253083907,4.174055651800335,89.33782958984375,86.95040431734338,-2.3874252725003657,-1.3307574790179713
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2033,5,-3.1178131908846334,-1.8835264996316456,1.496550331624624,-3.841931581497192,-4.228907749504214,4.179397278045749,93.42025756835938,92.51799654246562,-0.9022610258937505,0.9724556003844547
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2034,6,-2.377972967856434,-1.8013277540954291,1.1414270245710882,-3.859153032302856,-4.519053761827196,4.786851494883382,97.61768341064452,98.04306039362277,0.4253769829782499,2.2385328726954317
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2035,7,-2.277008247816859,-1.8266224392387829,1.0929639589520923,-3.876374483108521,-4.610032963395212,5.417562798616626,101.9944839477539,103.2529777348121,1.2584937870581996,1.809913469128858
trade+debt+liq,three_1pp_expansion_2028_2030,expansion,2036,8,-2.71382668834958,-1.9057655677720615,1.3026368104077983,-3.893596172332764,-4.496724929697027,5.664142430825647,106.79410552978516,108.22389382628914,1.429788296503986,-0.20937019397200118
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2024,-4,0.0,0.0,0.0,-4.269382953643799,-4.269382953643799,,55.08902359008789,55.08902359008789,0.0,0.0
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2025,-3,0.0,0.0,0.0,-4.325899124145508,-4.325899124145508,6.943162276891779,59.51612854003906,59.51612854003906,0.0,0.0
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2026,-2,0.0,0.0,0.0,-3.591127634048462,-3.591127634048462,6.625874450677793,64.90138244628906,64.90138244628906,0.0,0.0
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2027,-1,0.0,0.0,0.0,-3.824702739715576,-3.824702739715576,6.173631620015585,69.67215728759766,69.67215728759766,0.0,0.0
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2028,0,1.3583496928956666,1.0,-0.65200785258992,-3.879892110824585,-3.5318999634145047,3.990493814781493,73.19452667236328,73.80103522610564,0.6065085537423585,1.5699132700724368
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2029,1,3.3597459273512826,1.9245105011118464,-1.6126780451286156,-3.947735786437988,-3.6359033304547568,3.0968210440208477,77.04766845703125,78.86798718315038,1.820318726119126,4.135250166734305
trade+debt+liq+log_gdp_pc,three_1pp_cut_2028_2030,cut,2030,2,4.988622531716838,2.653426511105282,-2.3945388152240823,-3.9902679920196538,-3.731380296138454,3.4013496470442606,81.12287902832031,84.03991553246264,2.917036504142331,6.119787608782515
